Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received ,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance, Total ERC20 tnxs, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq sent addr.1, ERC20 uniq rec contract addr, ERC20 avg time between sent tnx, ERC20 avg time between rec tnx, ERC20 avg time between rec 2 tnx, ERC20 avg time between contract tnx, ERC20 min val rec, ERC20 max val rec, ERC20 avg val rec, ERC20 min val sent, ERC20 max val sent, ERC20 avg val sent, ERC20 min val sent contract, ERC20 max val sent contract, ERC20 avg val sent contract, ERC20 uniq sent token name, ERC20 uniq rec token name, ERC20 most sent token type, ERC20_most_rec_token_type,FLAG
0.0019620827155005394,0.0022682820315068275,0.36052980136515594,0.0721,0.0089,0.0,0.004000400040004,0.012705933024658124,0.0,5.725848125e-05,2.323369348511201e-05,0.0,6.003846153846153e-05,0.00010005675,0.0,0.0,0.0,0.04051012753188297,3.0289082880446146e-05,2.051903597258471e-05,0.0,0.5220137460073034,0.026497350264973504,3.558854378e-05,0.00031788544214285717,0.0,0.004557885141294439,0.012578616352201259,0.0,0.0741687979539642,0.0,0.0,0.0,0.0,0.0,1.5e-05,1.5403611532896304e-05,0.0,0.00015027677098214287,4.840458165514456e-06,0.0,0.0,0.0,0.18309859154929578,0.0773405698778833,0.2079207920792079,0.6430107526881721,0
0.02953621701500301,0.006135608427545747,0.6231730855332703,0.0094,0.0008,0.0,0.0005000500050005,0.0015074835791967266,0.0,3.26658625e-06,1.359870914862058e-06,0.0,3.4615384615384613e-06,2.737e-06,0.0,0.0,0.0,0.005101275318829707,1.0801935707767589e-07,1.079533434439185e-07,0.0,0.522023086433776,0.0007999200079992001,4.034283054e-10,2.0185798696428572e-11,0.0,0.00015192950470981463,0.0011646866992778943,0.0,0.00895140664961637,0.0,0.0,0.0,0.0,0.0,3.65e-10,3.3426081183346044e-09,2.2608090000000002e-08,2.0185794642857144e-11,4.026548902037565e-11,0.0,0.0,0.0,0.004694835680751174,0.009497964721845317,0.5082508250825083,0.5526881720430108,0
0.572162665037555,0.005047996114443727,0.26433046299277707,0.0002,0.001,0.0,0.001000100010001,0.0002153547970281038,1.1311900000000001e-05,1.4568162500000003e-06,1.2654519376420703e-06,4.166666666666667e-06,6.805030769230769e-06,0.00014952566666666666,0.0,0.0,0.0,0.0006001500375093774,1.255596571371957e-07,1.2557232264579884e-07,0.0,0.5220230865093701,0.0007999200079992001,5.215120705000001e-10,0.0,0.0,0.0,0.001630561378989052,0.0,0.010230179028132993,0.0,0.0,0.0,0.0,0.0,4.4281984e-10,3.780868015612125e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010854816824966078,0.013201320132013201,0.9354838709677419,0
0.02375062246148025,0.03273723017318861,0.20336786613902133,0.0025,0.0009000000000000001,0.0,0.0007000700070007,0.0013998061806826747,0.0,0.000625,0.00035078361841752966,0.0,0.0008653846153846153,0.005833486166666666,0.0,0.0,0.0,0.0017004251062765691,6.123117654215437e-05,3.1327842740975955e-05,0.0,0.5219944972580691,0.0013998600139986002,1.7111051909999997e-08,1.0189491678571429e-07,0.0,0.00030385900941962927,0.0025623107384113676,0.0,0.014066496163682865,0.0,0.0,0.0,0.0,0.0,1.1412230680000001e-08,9.021965496601545e-08,1e-06,8.061813107142858e-08,6.775141834969527e-08,0.0,0.0,0.0,0.004694835680751174,0.014925373134328356,0.7128712871287128,0.9354838709677419,0
8.50826146145438e-05,0.022207205098707942,0.1956519823059538,0.45980000000000004,0.002,0.00010005002501250626,0.0007000700070007,0.002045870571766986,0.0,1.6003013750000002e-05,9.417904251742924e-06,0.0,1.7307692307692306e-05,1.8906666666666666e-06,0.0,0.0,0.0,0.23100775193798448,3.649943163265005e-06,1.8691016269270845e-06,0.0,0.5220213839119523,0.004199580041995801,1.6282966089999998e-07,1.1030351151785714e-06,0.0,0.0006077180188392585,0.005357558816678314,0.0,0.03452685421994885,0.0,0.0,0.0,0.0,0.0,9e-08,2.8617831122724147e-07,0.0,4.017857142857143e-07,2.4447471949613974e-07,0.0,0.0,0.0,0.028169014084507043,0.036635006784260515,0.7821782178217822,0.3311827956989247,0
0.02300814243643096,0.0007787206272139632,0.010704945535896045,0.0002,0.00030000000000000003,0.0,0.00020002000200020003,0.0001076773985140519,7.24148e-05,6.01722e-06,1.1405829372297577e-05,0.00034723333333333333,1.0647915384615384e-05,0.0004043215,0.0,0.0,0.0,0.0002500625156289072,3.3951678172566857e-07,3.395445752399317e-07,0.0,0.5220230865283372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013201320132013201,0.0064516129032258064,0
0.00016142688913210084,0.0013054168307061814,0.004430161643977798,0.0025,0.0011,0.0,0.0009000900090009002,0.002153547970281038,4.9000000000000005e-06,3.3125e-06,3.871798617197322e-06,7.880833333333333e-07,8.239971153846153e-06,4.0208e-05,0.0,0.0,0.0,0.0018004501125281319,4.220429868129601e-07,4.2262400273799743e-07,0.0,0.522023087059009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013201320132013201,0.0064516129032258064,0
0.003479974222826325,0.00036675443623233525,0.1636065470538966,0.0213,0.0005,0.0,0.00030003000300030005,0.0003230321955421557,1.1849e-05,2.5e-06,3.141885871868883e-06,0.0,1.346153846153846e-06,3.4050833333333335e-06,0.0,0.0,0.0,0.010902725681420354,3.0451712906003695e-07,1.5588669941343121e-07,0.0,0.5220229443957327,0.0006999300069993001,3.97951964e-10,0.0,0.0,0.0,0.0011646866992778943,0.0,0.00895140664961637,0.0,0.0,0.0,0.0,0.0,3.65e-10,3.2972338805067847e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009497964721845317,0.013201320132013201,0.9354838709677419,0
0.0,0.0,0.0002540436443829931,0.0001,0.0001,0.0,0.00010001000100010001,0.0001076773985140519,0.0002,2.5e-06,7.051717929720151e-06,0.00016661499999999998,3.844961538461538e-06,0.00016661499999999998,0.0,0.0,0.0,0.00010002500625156288,6.995496084596474e-08,6.997511317955867e-08,0.0,0.522023086515358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013201320132013201,0.0064516129032258064,0
0.005974119593062009,0.006918663576201271,0.015639322070452124,0.0008,0.00030000000000000003,0.0,0.00020002000200020003,0.0004307095940562076,1e-05,5e-05,5.8881844713163255e-05,8.333333333333334e-06,7.692307692307691e-05,0.0015528854166666666,0.0,0.0,0.0,0.0005501375343835959,5.215954795003394e-06,1.7528765851479445e-06,0.0,0.5220197755613626,9.999000099990002e-05,6e-10,0.0,0.0,0.0,0.00023293733985557886,0.0,0.0012787723785166241,0.0,0.0,0.0,0.0,0.0006060606060606061,6e-10,3.4799130162682406e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013568521031207597,0.013201320132013201,0.023655913978494623,0
